"","Date","six-month","two-yr","five-yr","thirty-yr"
"1","01-01-2009",4.6,5.047,5.38,6.364
"2","01-01-2010",4.1,5.539,7.241,8.337
"3","01-01-2013",8.09,7.788,7.989,8.222
"4","01-01-2014",8.8,8.665,8.948,9.269
"5","01-01-2015",8.35,7.879,8.028,8.035
"6","01-01-2016",7.25,7.338,7.697,8.085
"7","01-01-2018",6.32,6.768,7.155,7.642
"8","01-01-2019",6.87,7.036,7.324,7.627
"9","01-01-2020",5.22,5.775,6.43,7.104
"10","01-02-2008",7.25,7.488,7.604,7.814
"11","01-02-2012",8.4,8.076,8.403,8.496
"12","01-02-2013",8.08,7.78,7.949,8.12
"13","01-02-2015",8.36,8.019,8.034,7.716
"14","01-02-2017",6.25,6.317,6.518,7.04
"15","01-02-2018",6.31,6.774,7.209,7.82
"16","01-02-2019",6.81,6.989,7.215,7.701
"17","01-03-2011",7.3,7.54,7.873,8.505
"18","01-03-2012",8.4,8.051,8.351,8.599
"19","01-03-2013",8.06,7.773,7.898,8.17
"20","01-03-2017",6.18,6.334,6.626,7.468
"21","01-03-2018",6.35,6.753,7.184,7.96
"22","01-03-2019",6.8,7.034,7.329,7.79
"23","01-05-2012",8.4,8.021,8.317,8.917
"24","01-05-2013",8.06,7.75,7.865,7.92
"25","01-06-2009",4.35,4.672,5.306,7.685
"26","01-06-2010",4.1,5.416,7.241,8.456
"27","01-06-2011",7.3,7.452,7.959,8.64
"28","01-06-2012",8.35,8.011,8.285,8.7
"29","01-06-2015",8.35,8.03,8.062,7.966
"30","01-06-2016",7.18,7.319,7.677,7.869
"31","01-06-2017",6.19,6.337,6.542,7.293
"32","01-06-2020",5.2,5.778,6.445,6.618
"33","01-07-2008",7.1,7.413,7.536,9.276
"34","01-07-2009",4.6,5.11,5.971,7.739
"35","01-07-2010",4.1,5.443,7.266,8.35
"36","01-07-2011",7.35,7.46,7.985,8.66
"37","01-07-2013",8.07,7.734,7.871,7.862
"38","01-07-2014",8.74,8.472,8.892,8.772
"39","01-07-2015",8.33,7.991,8.032,8.124
"40","01-07-2016",7.21,7.274,7.659,7.713
"41","01-07-2019",6.8,7.061,7.393,7.109
"42","01-07-2020",5.2,5.743,6.415,6.509
"43","01-08-2008",7.15,7.471,7.563,9.767
"44","01-08-2013",8.03,7.734,7.87,8.64
"45","01-08-2014",8.73,8.548,8.905,8.76
"46","01-08-2016",7.22,7.305,7.663,7.346
"47","01-08-2018",6.32,6.743,7.175,8.014
"48","01-08-2019",6.8,7.005,7.291,6.835
"49","01-09-2008",7.15,7.518,7.567,9.574
"50","01-09-2009",4.6,5.203,6.053,8.227
"51","01-09-2012",8.35,7.96,8.255,8.637
"52","01-09-2013",8.01,7.744,7.859,9.243
"53","01-09-2014",8.77,8.524,8.883,8.778
"54","01-09-2015",8.29,7.95,7.997,7.984
"55","01-09-2017",6.2,6.332,6.536,7.129
"56","01-09-2020",5.2,5.693,6.344,6.558
"57","01-10-2008",7.2,7.464,7.521,9.233
"58","01-10-2012",8.35,7.908,8.275,8.461
"59","01-10-2013",8.01,7.77,7.846,9.322
"60","01-10-2014",8.75,8.502,8.848,8.687
"61","01-10-2018",6.4,6.794,7.257,8.227
"62","01-10-2019",6.74,7.003,7.329,7.165
"63","01-10-2020",5.2,5.69,6.403,6.779
"64","01-11-2010",4.1,5.367,7.278,8.458
"65","01-11-2011",7.3,7.677,8.018,8.994
"66","01-11-2012",8.4,7.902,8.26,8.412
"67","01-11-2013",8.01,7.755,7.84,9.084
"68","01-11-2016",7.21,7.289,7.666,7.226
"69","01-11-2017",6.21,6.325,6.529,7.316
"70","01-11-2018",6.4,6.811,7.244,8.163
"71","01-11-2019",6.76,7,7.285,7.174
"72","01-12-2009",4.6,4.953,5.919,8.319
"73","01-12-2010",4.1,5.408,7.278,8.481
"74","01-12-2011",7.35,7.677,8.048,9.067
"75","01-12-2012",8.4,7.957,8.273,8.466
"76","01-12-2015",8.28,7.917,7.948,7.965
"77","01-12-2016",7.22,7.266,7.668,6.671
"78","02-01-2008",7.35,7.436,7.468,8.083
"79","02-01-2012",8.7,8.062,8.218,8.725
